Site,TimeStamp,DO_mgL
Azevedo Pond,5/3/21 20:00,0
Azevedo Pond,5/3/21 20:15,0
Azevedo Pond,5/3/21 20:30,0
Azevedo Pond,5/3/21 20:45,2.3
Azevedo Pond,5/3/21 21:00,3.5
Azevedo Pond,5/3/21 21:15,3.7
Azevedo Pond,5/3/21 21:30,3.4
Azevedo Pond,5/3/21 21:45,2.8
Azevedo Pond,5/3/21 22:00,2.5
Azevedo Pond,5/3/21 22:15,1.9
Azevedo Pond,5/3/21 22:30,1.4
Azevedo Pond,5/3/21 22:45,1.1
Azevedo Pond,5/3/21 23:00,0.8
Azevedo Pond,5/3/21 23:15,0.6
Azevedo Pond,5/3/21 23:30,0.5
Azevedo Pond,5/3/21 23:45,0.3
Azevedo Pond,5/4/21 0:00,0.2
Azevedo Pond,5/4/21 0:15,0.1
Azevedo Pond,5/4/21 0:30,0
Azevedo Pond,5/4/21 0:45,0
Azevedo Pond,5/4/21 1:00,0
Azevedo Pond,5/4/21 1:15,0
Azevedo Pond,5/4/21 1:30,0
Azevedo Pond,5/4/21 1:45,0
Azevedo Pond,5/4/21 2:00,0
Azevedo Pond,5/4/21 2:15,0
Azevedo Pond,5/4/21 2:30,0
Azevedo Pond,5/4/21 2:45,0
Azevedo Pond,5/4/21 3:00,0
Azevedo Pond,5/4/21 3:15,0
Azevedo Pond,5/4/21 3:30,0
Azevedo Pond,5/4/21 3:45,0
Azevedo Pond,5/4/21 4:00,0
Azevedo Pond,5/4/21 4:15,0
Azevedo Pond,5/4/21 4:30,0
Azevedo Pond,5/4/21 4:45,0
Azevedo Pond,5/4/21 5:00,0
Azevedo Pond,5/4/21 5:15,0.1
Azevedo Pond,5/4/21 5:30,0.8
Azevedo Pond,5/4/21 5:45,1.4
Azevedo Pond,5/4/21 6:00,2.2
Azevedo Pond,5/4/21 6:15,2.7
Azevedo Pond,5/4/21 6:30,3.3
Azevedo Pond,5/4/21 6:45,3.3
Azevedo Pond,5/4/21 7:00,3.6
Azevedo Pond,5/4/21 7:15,4.1
Azevedo Pond,5/4/21 7:30,4.4
Azevedo Pond,5/4/21 7:45,5
Azevedo Pond,5/4/21 8:00,5.4
Azevedo Pond,5/4/21 8:15,6.4
Azevedo Pond,5/4/21 8:30,6.3
Azevedo Pond,5/4/21 8:45,6.4
Azevedo Pond,5/4/21 9:00,6.5
Azevedo Pond,5/4/21 9:15,6.2
Azevedo Pond,5/4/21 9:30,6
Azevedo Pond,5/4/21 9:45,5.1
Azevedo Pond,5/4/21 10:00,3.2
Azevedo Pond,5/4/21 10:15,2.5
Azevedo Pond,5/4/21 10:30,1.9
Azevedo Pond,5/4/21 10:45,1.3
Azevedo Pond,5/4/21 11:00,1.4
Azevedo Pond,5/4/21 11:15,0.7
Azevedo Pond,5/4/21 11:30,0.5
Azevedo Pond,5/4/21 11:45,0.1
Azevedo Pond,5/4/21 12:00,0.2
Azevedo Pond,5/4/21 12:15,1
Azevedo Pond,5/4/21 12:30,0.6
Azevedo Pond,5/4/21 12:45,0.4
Azevedo Pond,5/4/21 13:00,0.2
Azevedo Pond,5/4/21 13:15,0.5
Azevedo Pond,5/4/21 13:30,0.4
Azevedo Pond,5/4/21 13:45,0.1
Azevedo Pond,5/4/21 14:00,0.7
Azevedo Pond,5/4/21 14:15,0.5
Azevedo Pond,5/4/21 14:30,1.2
Azevedo Pond,5/4/21 14:45,0.2
Azevedo Pond,5/4/21 15:00,0.2
Azevedo Pond,5/4/21 15:15,0.1
Azevedo Pond,5/4/21 15:30,0.2
Azevedo Pond,5/4/21 15:45,0.1
Azevedo Pond,5/4/21 16:00,0.2
Azevedo Pond,5/4/21 16:15,0.7
Azevedo Pond,5/4/21 16:30,0.5
