Site,TimeStamp,DO_mgL
Vierra Mouth,5/6/21 9:30,9.1
Vierra Mouth,5/6/21 9:45,8.9
Vierra Mouth,5/6/21 10:00,9
Vierra Mouth,5/6/21 10:15,8.8
Vierra Mouth,5/6/21 10:30,8.8
Vierra Mouth,5/6/21 10:45,8.6
Vierra Mouth,5/6/21 11:00,8.8
Vierra Mouth,5/6/21 11:15,8.6
Vierra Mouth,5/6/21 11:30,8.4
Vierra Mouth,5/6/21 11:45,8.1
Vierra Mouth,5/6/21 12:00,8.2
Vierra Mouth,5/6/21 12:15,7.8
Vierra Mouth,5/6/21 12:30,7.3
Vierra Mouth,5/6/21 12:45,7.2
Vierra Mouth,5/6/21 13:00,7.5
Vierra Mouth,5/6/21 13:15,7.5
Vierra Mouth,5/6/21 13:30,7.3
Vierra Mouth,5/6/21 13:45,7.9
Vierra Mouth,5/6/21 14:00,7.8
Vierra Mouth,5/6/21 14:15,7.8
Vierra Mouth,5/6/21 14:30,8.6
Vierra Mouth,5/6/21 14:45,8.6
Vierra Mouth,5/6/21 15:00,8.3
Vierra Mouth,5/6/21 15:15,8.3
Vierra Mouth,5/6/21 15:30,8.3
Vierra Mouth,5/6/21 15:45,8
Vierra Mouth,5/6/21 16:00,8.3
Vierra Mouth,5/6/21 16:15,8.5
Vierra Mouth,5/6/21 16:30,8.7
Vierra Mouth,5/6/21 16:45,9.4
Vierra Mouth,5/6/21 17:00,9.1
Vierra Mouth,5/6/21 17:15,9.2
Vierra Mouth,5/6/21 17:30,9.9
Vierra Mouth,5/6/21 17:45,9.9
Vierra Mouth,5/6/21 18:00,9.6
Vierra Mouth,5/6/21 18:15,9.5
Vierra Mouth,5/6/21 18:30,9.2
Vierra Mouth,5/6/21 18:45,9.2
Vierra Mouth,5/6/21 19:00,9
Vierra Mouth,5/6/21 19:15,8.9
Vierra Mouth,5/6/21 19:30,8.8
Vierra Mouth,5/6/21 19:45,8.6
Vierra Mouth,5/6/21 20:00,8.7
Vierra Mouth,5/6/21 20:15,8.7
Vierra Mouth,5/6/21 20:30,8.6
Vierra Mouth,5/6/21 20:45,8.8
Vierra Mouth,5/6/21 21:00,8.8
Vierra Mouth,5/6/21 21:15,8.9
Vierra Mouth,5/6/21 21:30,8.9
Vierra Mouth,5/6/21 21:45,8.8
Vierra Mouth,5/6/21 22:00,8.8
Vierra Mouth,5/6/21 22:15,8.7
