Site,TimeStamp,DO_mgL
North Marsh,5/6/21 3:45,2.8
North Marsh,5/6/21 4:00,2.9
North Marsh,5/6/21 4:15,3
North Marsh,5/6/21 4:30,3.2
North Marsh,5/6/21 4:45,3.5
North Marsh,5/6/21 5:00,3.7
North Marsh,5/6/21 5:15,3.9
North Marsh,5/6/21 5:30,4
North Marsh,5/6/21 5:45,4.5
North Marsh,5/6/21 6:00,4.6
North Marsh,5/6/21 6:15,4.7
North Marsh,5/6/21 6:30,5.2
North Marsh,5/6/21 6:45,5.3
North Marsh,5/6/21 7:00,5.5
North Marsh,5/6/21 7:15,5.8
North Marsh,5/6/21 7:30,5.9
North Marsh,5/6/21 7:45,6
North Marsh,5/6/21 8:00,6.1
North Marsh,5/6/21 8:15,6.2
North Marsh,5/6/21 8:30,6.3
North Marsh,5/6/21 8:45,6.5
North Marsh,5/6/21 9:00,6.6
North Marsh,5/6/21 9:15,6.7
North Marsh,5/6/21 9:30,6.7
North Marsh,5/6/21 9:45,6.8
North Marsh,5/6/21 10:00,6.9
North Marsh,5/6/21 10:15,6.7
North Marsh,5/6/21 10:30,7.2
North Marsh,5/6/21 10:45,7.1
North Marsh,5/6/21 11:00,7.3
North Marsh,5/6/21 11:15,7.2
North Marsh,5/6/21 11:30,8
North Marsh,5/6/21 11:45,8.5
North Marsh,5/6/21 12:00,8.9
North Marsh,5/6/21 12:15,8.7
North Marsh,5/6/21 12:30,8.7
North Marsh,5/6/21 12:45,9.3
North Marsh,5/6/21 13:00,9.3
North Marsh,5/6/21 13:15,9.2
North Marsh,5/6/21 13:30,9.3
North Marsh,5/6/21 13:45,10.3
North Marsh,5/6/21 14:00,10.5
North Marsh,5/6/21 14:15,10.8
North Marsh,5/6/21 14:30,10.9
North Marsh,5/6/21 14:45,10.5
North Marsh,5/6/21 15:00,10.7
North Marsh,5/6/21 15:15,11.2
North Marsh,5/6/21 15:30,11.4
North Marsh,5/6/21 15:45,11.5
North Marsh,5/6/21 16:00,11.7
North Marsh,5/6/21 16:15,10.6
North Marsh,5/6/21 16:30,10.7
North Marsh,5/6/21 16:45,10.7
North Marsh,5/6/21 17:00,11
North Marsh,5/6/21 17:15,9.8
North Marsh,5/6/21 17:30,9.2
North Marsh,5/6/21 17:45,9
North Marsh,5/6/21 18:00,9
North Marsh,5/6/21 18:15,9
North Marsh,5/6/21 18:30,8.9
North Marsh,5/6/21 18:45,8.8
North Marsh,5/6/21 19:00,8.8
North Marsh,5/6/21 19:15,8.8
North Marsh,5/6/21 19:30,8.8
North Marsh,5/6/21 19:45,8.5
North Marsh,5/6/21 20:00,8.5
North Marsh,5/6/21 20:15,8.5
North Marsh,5/6/21 20:30,8.5
North Marsh,5/6/21 20:45,8.6
North Marsh,5/6/21 21:00,8.4
North Marsh,5/6/21 21:15,8.4
North Marsh,5/6/21 21:30,8.2
North Marsh,5/6/21 21:45,7.9
North Marsh,5/6/21 22:00,7.5
North Marsh,5/6/21 22:15,7.6
North Marsh,5/6/21 22:30,7.3
North Marsh,5/6/21 22:45,7
North Marsh,5/6/21 23:00,6.8
North Marsh,5/6/21 23:15,6.5
North Marsh,5/6/21 23:30,6.3
North Marsh,5/6/21 23:45,6
North Marsh,5/7/21 0:00,5.3
North Marsh,5/7/21 0:15,2.6
